,algorithm,features,p_NFS,p_UFS,p_CFS,p_wavg,r_NFS,r_UFS,r_CFS,r_wavg,f_NFS,f_UFS,f_CFS,f_wavg
0,GB,N,0.772,0.99,0.885,0.821,0.986,0.371,0.424,0.793,0.866,0.54,0.574,0.765
1,GB,W,0.976,0.992,0.979,0.978,0.998,0.909,0.95,0.978,0.987,0.948,0.964,0.978
2,GB,P,0.816,0.761,0.686,0.78,0.941,0.228,0.594,0.788,0.874,0.351,0.637,0.766
3,GB,E,0.743,0.837,0.683,0.738,0.952,0.022,0.422,0.735,0.835,0.043,0.521,0.681
4,GB,N_W,0.824,0.866,0.862,0.837,0.979,0.335,0.627,0.832,0.895,0.483,0.726,0.814
5,GB,N_P,0.807,0.661,0.666,0.76,0.938,0.181,0.568,0.775,0.868,0.284,0.613,0.749
6,GB,N_E,0.755,0.738,0.692,0.738,0.951,0.049,0.458,0.745,0.841,0.092,0.551,0.698
7,GB,N_W_P,0.849,0.849,0.82,0.842,0.966,0.385,0.692,0.844,0.904,0.53,0.751,0.83
8,GB,N_W_E,0.981,0.989,0.978,0.981,0.998,0.913,0.964,0.981,0.989,0.95,0.971,0.981
9,GB,N_W_P_E,0.852,0.862,0.822,0.846,0.966,0.389,0.705,0.847,0.906,0.536,0.759,0.834
