,algorithm,features,p_NFS,p_UFS,p_CFS,p_wavg,r_NFS,r_UFS,r_CFS,r_wavg,f_NFS,f_UFS,f_CFS,f_wavg
0,LR,N,0.736,0.11,0.357,0.585,0.529,0.194,0.527,0.495,0.616,0.141,0.425,0.523
1,LR,W,0.987,0.777,0.911,0.948,0.934,0.97,0.953,0.942,0.96,0.863,0.932,0.943
2,LR,P,0.877,0.246,0.495,0.724,0.693,0.5,0.569,0.644,0.774,0.329,0.529,0.672
3,LR,E,0.818,0.161,0.516,0.681,0.676,0.346,0.516,0.605,0.74,0.22,0.516,0.635
4,LR,N_W,0.987,0.777,0.91,0.948,0.933,0.97,0.953,0.942,0.959,0.863,0.931,0.943
5,LR,N_P,0.878,0.245,0.509,0.728,0.695,0.513,0.572,0.648,0.776,0.332,0.539,0.676
6,LR,N_E,0.818,0.183,0.536,0.688,0.691,0.369,0.535,0.622,0.749,0.244,0.535,0.648
7,LR,N_W_P,0.987,0.781,0.914,0.949,0.936,0.97,0.952,0.943,0.961,0.865,0.933,0.945
8,LR,N_W_E,0.987,0.775,0.911,0.948,0.934,0.968,0.953,0.942,0.959,0.861,0.932,0.943
9,LR,N_W_P_E,0.987,0.782,0.918,0.95,0.938,0.969,0.953,0.945,0.962,0.866,0.935,0.946
